"Round","Date","Time","HomeTeam","HowegoalsFT","AwaygoalsFT","HomegoalsHT","AwaygoalsHT","AwayTeam","Month","Day","Year"
"13",2020-11-22,"20.45","Cercle Brugge",NA,NA,NA,NA,"Waasland-Beveren","Nov","22",2020
"14",2020-11-28,"20.45","Sint-Truidense VV",NA,NA,NA,NA,"Waasland-Beveren","Nov","28",2020
"14",2020-11-28,"20.45","Cercle Brugge",NA,NA,NA,NA,"KRC Genk","Nov","28",2020
"14",2020-11-28,"20.45","Royal Antwerp FC",NA,NA,NA,NA,"Oud-Heverlee Leuven","Nov","28",2020
"14",2020-11-28,"20.45","KAA Gent",NA,NA,NA,NA,"SV Zulte Waregem","Nov","28",2020
"14",2020-11-28,"20.45","KAS Eupen",NA,NA,NA,NA,"Sporting Charleroi","Nov","28",2020
"14",2020-11-28,"20.45","RSC Anderlecht",NA,NA,NA,NA,"Standard Liège","Nov","28",2020
"14",2020-11-28,"20.45","KV Mechelen",NA,NA,NA,NA,"Beerschot VA","Nov","28",2020
"14",2020-11-28,"20.45","Royal Excel Mouscron",NA,NA,NA,NA,"Club Brugge","Nov","28",2020
"14",2020-11-28,"20.45","KV Kortrijk",NA,NA,NA,NA,"KV Oostende","Nov","28",2020
"15",2020-12-05,"20.45","Royal Excel Mouscron",NA,NA,NA,NA,"Waasland-Beveren","Dec","5",2020
"15",2020-12-05,"20.45","Beerschot VA",NA,NA,NA,NA,"KAS Eupen","Dec","5",2020
"15",2020-12-05,"20.45","Club Brugge",NA,NA,NA,NA,"Sint-Truidense VV","Dec","5",2020
"15",2020-12-05,"20.45","KRC Genk",NA,NA,NA,NA,"Royal Antwerp FC","Dec","5",2020
"15",2020-12-05,"20.45","KV Oostende",NA,NA,NA,NA,"KAA Gent","Dec","5",2020
"15",2020-12-05,"20.45","Oud-Heverlee Leuven",NA,NA,NA,NA,"Cercle Brugge","Dec","5",2020
"15",2020-12-05,"20.45","Sporting Charleroi",NA,NA,NA,NA,"KV Kortrijk","Dec","5",2020
"15",2020-12-05,"20.45","Standard Liège",NA,NA,NA,NA,"KV Mechelen","Dec","5",2020
"15",2020-12-05,"20.45","SV Zulte Waregem",NA,NA,NA,NA,"RSC Anderlecht","Dec","5",2020
"12",2020-12-07,"20.45","KAA Gent",NA,NA,NA,NA,"RSC Anderlecht","Dec","7",2020
"16",2020-12-12,"20.45","Cercle Brugge",NA,NA,NA,NA,"KV Oostende","Dec","12",2020
"16",2020-12-12,"20.45","Royal Antwerp FC",NA,NA,NA,NA,"Club Brugge","Dec","12",2020
"16",2020-12-12,"20.45","KAA Gent",NA,NA,NA,NA,"Standard Liège","Dec","12",2020
"16",2020-12-12,"20.45","KAS Eupen",NA,NA,NA,NA,"SV Zulte Waregem","Dec","12",2020
"16",2020-12-12,"20.45","KV Kortrijk",NA,NA,NA,NA,"Oud-Heverlee Leuven","Dec","12",2020
"16",2020-12-12,"20.45","KV Mechelen",NA,NA,NA,NA,"Waasland-Beveren","Dec","12",2020
"16",2020-12-12,"20.45","Royal Excel Mouscron",NA,NA,NA,NA,"Beerschot VA","Dec","12",2020
"16",2020-12-12,"20.45","RSC Anderlecht",NA,NA,NA,NA,"KRC Genk","Dec","12",2020
"16",2020-12-12,"20.45","Sint-Truidense VV",NA,NA,NA,NA,"Sporting Charleroi","Dec","12",2020
"17",2020-12-19,"20.45","Beerschot VA",NA,NA,NA,NA,"Cercle Brugge","Dec","19",2020
"17",2020-12-19,"20.45","Club Brugge",NA,NA,NA,NA,"KAA Gent","Dec","19",2020
"17",2020-12-19,"20.45","KRC Genk",NA,NA,NA,NA,"KV Kortrijk","Dec","19",2020
"17",2020-12-19,"20.45","KV Oostende",NA,NA,NA,NA,"KAS Eupen","Dec","19",2020
"17",2020-12-19,"20.45","Oud-Heverlee Leuven",NA,NA,NA,NA,"KV Mechelen","Dec","19",2020
"17",2020-12-19,"20.45","Sporting Charleroi",NA,NA,NA,NA,"RSC Anderlecht","Dec","19",2020
"17",2020-12-19,"20.45","Standard Liège",NA,NA,NA,NA,"Royal Excel Mouscron","Dec","19",2020
"17",2020-12-19,"20.45","SV Zulte Waregem",NA,NA,NA,NA,"Sint-Truidense VV","Dec","19",2020
"17",2020-12-19,"20.45","Royal Antwerp FC",NA,NA,NA,NA,"Waasland-Beveren","Dec","19",2020
"18",2020-12-23,"20.45","KV Mechelen",NA,NA,NA,NA,"Club Brugge","Dec","23",2020
"18",2020-12-23,"20.45","Royal Antwerp FC",NA,NA,NA,NA,"SV Zulte Waregem","Dec","23",2020
"18",2020-12-23,"20.45","KAA Gent",NA,NA,NA,NA,"Waasland-Beveren","Dec","23",2020
"18",2020-12-23,"20.45","KAS Eupen",NA,NA,NA,NA,"KRC Genk","Dec","23",2020
"18",2020-12-23,"20.45","KV Kortrijk",NA,NA,NA,NA,"Standard Liège","Dec","23",2020
"18",2020-12-23,"20.45","Royal Excel Mouscron",NA,NA,NA,NA,"Oud-Heverlee Leuven","Dec","23",2020
"18",2020-12-23,"20.45","RSC Anderlecht",NA,NA,NA,NA,"KV Oostende","Dec","23",2020
"18",2020-12-23,"20.45","Sint-Truidense VV",NA,NA,NA,NA,"Beerschot VA","Dec","23",2020
"18",2020-12-23,"20.45","Cercle Brugge",NA,NA,NA,NA,"Sporting Charleroi","Dec","23",2020
"19",2020-12-26,"20.45","KV Mechelen",NA,NA,NA,NA,"Royal Excel Mouscron","Dec","26",2020
"19",2020-12-26,"20.45","Royal Antwerp FC",NA,NA,NA,NA,"Sporting Charleroi","Dec","26",2020
"19",2020-12-26,"20.45","Club Brugge",NA,NA,NA,NA,"KAS Eupen","Dec","26",2020
"19",2020-12-26,"20.45","KRC Genk",NA,NA,NA,NA,"Waasland-Beveren","Dec","26",2020
"19",2020-12-26,"20.45","Oud-Heverlee Leuven",NA,NA,NA,NA,"KV Oostende","Dec","26",2020
"19",2020-12-26,"20.45","RSC Anderlecht",NA,NA,NA,NA,"Beerschot VA","Dec","26",2020
"19",2020-12-26,"20.45","Standard Liège",NA,NA,NA,NA,"Sint-Truidense VV","Dec","26",2020
"19",2020-12-26,"20.45","SV Zulte Waregem",NA,NA,NA,NA,"Cercle Brugge","Dec","26",2020
"19",2020-12-26,"20.45","KV Kortrijk",NA,NA,NA,NA,"KAA Gent","Dec","26",2020
"20",2021-01-16,"20.45","Beerschot VA",NA,NA,NA,NA,"Club Brugge","Jan","16",2021
"20",2021-01-16,"20.45","Cercle Brugge",NA,NA,NA,NA,"Standard Liège","Jan","16",2021
"20",2021-01-16,"20.45","KAA Gent",NA,NA,NA,NA,"Royal Antwerp FC","Jan","16",2021
"20",2021-01-16,"20.45","KAS Eupen",NA,NA,NA,NA,"RSC Anderlecht","Jan","16",2021
"20",2021-01-16,"20.45","SV Zulte Waregem",NA,NA,NA,NA,"Waasland-Beveren","Jan","16",2021
"20",2021-01-16,"20.45","Royal Excel Mouscron",NA,NA,NA,NA,"KRC Genk","Jan","16",2021
"20",2021-01-16,"20.45","Sporting Charleroi",NA,NA,NA,NA,"KV Mechelen","Jan","16",2021
"20",2021-01-16,"20.45","Sint-Truidense VV",NA,NA,NA,NA,"Oud-Heverlee Leuven","Jan","16",2021
"20",2021-01-16,"20.45","KV Oostende",NA,NA,NA,NA,"KV Kortrijk","Jan","16",2021
"21",2021-01-23,"20.45","Royal Antwerp FC",NA,NA,NA,NA,"KV Oostende","Jan","23",2021
"21",2021-01-23,"20.45","Club Brugge",NA,NA,NA,NA,"KRC Genk","Jan","23",2021
"21",2021-01-23,"20.45","KV Kortrijk",NA,NA,NA,NA,"Cercle Brugge","Jan","23",2021
"21",2021-01-23,"20.45","KV Mechelen",NA,NA,NA,NA,"KAS Eupen","Jan","23",2021
"21",2021-01-23,"20.45","Sint-Truidense VV",NA,NA,NA,NA,"Royal Excel Mouscron","Jan","23",2021
"21",2021-01-23,"20.45","RSC Anderlecht",NA,NA,NA,NA,"Waasland-Beveren","Jan","23",2021
"21",2021-01-23,"20.45","Standard Liège",NA,NA,NA,NA,"Sporting Charleroi","Jan","23",2021
"21",2021-01-23,"20.45","SV Zulte Waregem",NA,NA,NA,NA,"Beerschot VA","Jan","23",2021
"21",2021-01-23,"20.45","Oud-Heverlee Leuven",NA,NA,NA,NA,"KAA Gent","Jan","23",2021
"22",2021-01-27,"20.45","Beerschot VA",NA,NA,NA,NA,"KV Kortrijk","Jan","27",2021
"22",2021-01-27,"20.45","Cercle Brugge",NA,NA,NA,NA,"Club Brugge","Jan","27",2021
